Date,Close,Volume
2023-02-07,27685.47,74300000
2023-02-08,27606.46,69000000
2023-02-09,27584.35,61700000
2023-02-10,27670.98,88800000
2023-02-13,27427.32,70400000
2023-02-14,27602.77,55800000
2023-02-15,27501.86,72100000
2023-02-16,27696.44,68100000
2023-02-17,27513.13,68800000
2023-02-20,27531.94,62500000
2023-02-21,27473.1,61600000
2023-02-22,27104.32,74700000
2023-02-24,27453.48,76000000
2023-02-27,27423.96,59400000
2023-02-28,27445.56,86300000
2023-03-01,27516.53,69800000
2023-03-02,27498.87,69300000
2023-03-03,27927.47,78200000
2023-03-06,28237.78,65700000
2023-03-07,28309.16,69800000
2023-03-08,28444.19,67200000
2023-03-09,28623.15,72300000
2023-03-10,28143.97,111300000
2023-03-13,27832.96,96100000
2023-03-14,27222.04,125700000
2023-03-15,27229.48,86600000
2023-03-16,27010.61,107100000
2023-03-17,27333.79,101500000
2023-03-20,26945.67,79200000
2023-03-22,27466.61,78100000
2023-03-23,27419.61,64100000
2023-03-24,27385.25,59500000
2023-03-27,27476.87,57400000
2023-03-28,27518.25,66400000
2023-03-29,27883.78,83800000
2023-03-30,27782.93,82000000
2023-03-31,28041.48,91100000
2023-04-03,28188.15,75000000
2023-04-04,28287.42,73300000
2023-04-05,27813.26,74300000
2023-04-06,27472.63,73200000
2023-04-07,27518.31,49100000
2023-04-10,27633.66,48000000
2023-04-11,27923.37,64800000
2023-04-12,28082.7,62700000
2023-04-13,28156.97,59900000
2023-04-14,28493.47,72900000
2023-04-17,28514.78,58000000
2023-04-18,28658.83,62300000
2023-04-19,28606.76,58000000
2023-04-20,28657.57,56700000
2023-04-21,28564.37,61400000
2023-04-24,28593.52,50000000
2023-04-25,28620.07,59300000
2023-04-26,28416.47,68700000
2023-04-27,28457.68,73600000
2023-04-28,28856.44,104000000
2023-05-01,29123.18,73400000
2023-05-02,29157.95,63900000
2023-05-08,28949.88,74100000
2023-05-09,29242.82,86400000
2023-05-10,29122.18,87300000
2023-05-11,29126.72,82200000
2023-05-12,29388.3,106100000
2023-05-15,29626.34,88600000
2023-05-16,29842.99,107400000
2023-05-17,30093.59,93100000
2023-05-18,30573.93,90500000
2023-05-19,30808.35,80500000
2023-05-22,31086.82,75400000
2023-05-23,30957.77,92200000
2023-05-24,30682.68,81700000
